#  JDa      RVa   Uncertainty
#-2451000   m/s   m/s
#
 118.0578   24.0  8.4
 118.9610  -23.8 16.9 
 119.9445    0.0 11.5 
 121.0385  -33.0 16.1
 211.9514  -10.1 18.7
 212.9234    3.9 13.3
 213.9749   -3.9 17.0
 214.9171  -14.1 13.2
 386.3227  -54.7 17.1
 387.2981  -33.2 15.3
 411.2293  -14.2 15.6
 414.2585  -16.5 10.6
 473.0883  -42.5 10.6
 525.9286  -78.7 13.9
 527.9226  -28.9 11.0
 745.2702  -51.8 17.4
 828.0703  -43.1 12.5
 828.9944  -49.3 10.4
 829.9757  -45.1 11.7
 856.0702  -33.5 14.6
 919.9434  -25.7 14.7
 920.9672  -22.5 14.5
1093.2947  136.2 14.4
1127.2341   98.9 15.1
1151.2230   65.7  8.4
1152.0860   66.4  9.2
1154.2124   74.6 11.4
1187.0957   55.1  9.7
1188.0300   48.7  8.4
1189.1502   58.6 11.6
1190.0932   48.5  8.4
1422.3281   -9.7 11.2
1425.3322   -3.2  7.7
1455.2853  -29.4  6.1
