# From https://www.skysports.com/uefa-nations-league-results
home           hs m as  away
Albania		1 - 1	Iceland
Greece		3 - 1	NorthernIreland
Kosovo		5 - 1	Cyprus
Norway		0 - 2	Serbia
Portugal	0 - 1	Spain
Ireland		3 - 2	Armenia
Sweden		1 - 1	Slovenia
Switzerland	2 - 1	CzechRepublic
Ukraine		0 - 0	Scotland
England		3 - 3	Germany
Gibraltar	1 - 2	Georgia
Hungary		0 - 2	Italy
Montenegro	0 - 2	Finland
NorthMacedonia	0 - 1	Bulgaria
Romania		4 - 1	BosniaHerzeg
SanMarino	0 - 4	Estonia
Andorra		1 - 1	Latvia
Moldova		2 - 0	Liechtenstein
Azerbaijan	3 - 0	Kazakhstan
Slovakia	1 - 1	Belarus
Austria		1 - 3	Croatia
Denmark		2 - 0	France
FaroeIslands	2 - 1	Turkey
Luxembourg	1 - 0	Lithuania
Netherlands	1 - 0	Belgium
Wales		0 - 1	Poland
Armenia		0 - 5	Ukraine
NorthernIreland	2 - 1	Kosovo
Slovenia	2 - 1	Norway
Cyprus		1 - 0	Greece
CzechRepublic	0 - 4	Portugal
Israel		2 - 1	Albania
Scotland	2 - 1	Ireland
Serbia		4 - 1	Sweden
Spain		1 - 2	Switzerland
Estonia		2 - 1	Malta
Georgia		2 - 0	NorthMacedonia
BosniaHerzeg	1 - 0	Montenegro
Bulgaria	5 - 1	Gibraltar
Finland		1 - 1	Romania
Germany		0 - 1	Hungary
Italy		1 - 0	England
Kazakhstan	2 - 1	Belarus
Latvia		1 - 2	Moldova
Belgium		2 - 1	Wales
Croatia		2 - 1	Denmark
France		2 - 0	Austria
Liechtenstein	0 - 2	Andorra
Lithuania	1 - 1	FaroeIslands
Poland		0 - 2	Netherlands
Slovakia	1 - 2	Azerbaijan
Turkey		3 - 3	Luxembourg
Scotland	3 - 0	Ukraine
Armenia		1 - 4	Scotland
Moldova		2 - 1	Andorra
BosniaHerzeg	3 - 2	Finland
England		0 - 4	Hungary
Germany		5 - 2	Italy
Liechtenstein	0 - 2	Latvia
Luxembourg	2 - 2	FaroeIslands
Netherlands	3 - 2	Wales
Poland		0 - 1	Belgium
Romania		0 - 3	Montenegro
Turkey		2 - 0	Lithuania
Ukraine		1 - 1	Ireland
Kazakhstan	2 - 1	Slovakia
Azerbaijan	2 - 0	Belarus
Denmark		2 - 0	Austria
France		0 - 1	Croatia
Iceland		2 - 2	Israel
	
