# From	https//www.uefa.com/european-qualifiers/news/0264-110cbe0bf3c8-20065adb8f46-1000--qualifying-fixtures-and-results/			
home	       hs m as	away			
Poland		2 - 0	Sweden
Portugal	2 - 0	NorthMacedonia
Wales		1 - 0	Ukraine
Wales		2 - 1	Austria
Sweden		1 - 0	CzechRepublic
Italy		0 - 1	NorthMacedonia
Portugal	3 - 1	Turkey
Scotland	1 - 3	Ukraine
Luxembourg	0 - 3	Ireland
Portugal	1 - 2	Serbia
Greece		1 - 1	Kosovo
Spain		1 - 0	Sweden
Croatia		1 - 0	Russia
Malta		0 - 6	Slovakia
Slovenia	2 - 1	Cyprus
Armenia		1 - 4	Germany
Liechtenstein	0 - 2	Romania
NorthMacedonia	3 - 1	Iceland
NorthernIreland	0 - 0	Italy
Switzerland	4 - 0	Bulgaria
Austria		4 - 1	Moldova
Israel		3 - 2	FaroeIslands
Scotland	2 - 0	Denmark
Albania		1 - 0	Andorra
Poland		1 - 2	Hungary
SanMarino	0 - 10	England
BosniaHerzeg	0 - 2	Ukraine
Finland		0 - 2	France
CzechRepublic	2 - 0	Estonia
Wales		1 - 1	Belgium
Gibraltar	1 - 3	Latvia
Montenegro	1 - 2	Turkey
Netherlands	2 - 0	Norway
Azerbaijan	1 - 3	Luxembourg
Ireland		0 - 0	Portugal
Georgia		2 - 0	Sweden
Greece		0 - 1	Spain
Russia		6 - 0	Cyprus
Malta		1 - 7	Croatia
Slovakia	2 - 2	Slovenia
Armenia		0 - 5	NorthMacedonia
Germany		9 - 0	Liechtenstein
Romania		0 - 0	Iceland
Italy		1 - 1	Switzerland
NorthernIreland	1 - 0	Lithuania
Austria		4 - 2	Israel
Denmark		3 - 1	FaroeIslands
Moldova		0 - 2	Scotland
Andorra		1 - 4	Poland
England		5 - 0	Albania
Hungary		4 - 0	SanMarino
BosniaHerzeg	1 - 3	Finland
France		8 - 0	Kazakhstan
Norway		0 - 0	Latvia
Turkey		6 - 0	Gibraltar
Montenegro	2 - 2	Netherlands
Belgium		3 - 1	Estonia
Wales		5 - 1	Belarus
Belarus		0 - 2	CzechRepublic
Estonia		0 - 1	Wales
Latvia		1 - 2	Turkey
Netherlands	6 - 0	Gibraltar
Norway		2 - 0	Montenegro
Croatia		2 - 2	Slovakia
Cyprus		2 - 2	Malta
Slovenia	1 - 2	Russia
Iceland		4 - 0	Liechtenstein
NorthMacedonia	0 - 4	Germany
Romania		1 - 0	Armenia
Portugal	5 - 0	Luxembourg
Serbia		3 - 1	Azerbaijan
Kosovo		1 - 2	Georgia
Sweden		2 - 0	Greece
Bulgaria	2 - 1	NorthernIreland
Lithuania	0 - 4	Switzerland
Kazakhstan	0 - 2	Finland
Ukraine		1 - 1	BosniaHerzeg
Denmark		1 - 0	Austria
FaroeIslands	0 - 1	Scotland
Israel		2 - 1	Moldova
Albania		0 - 1	Poland
England		1 - 1	Hungary
SanMarino	0 - 3	Andorra
CzechRepublic	2 - 2	Wales
Estonia		2 - 0	Belarus
Gibraltar	0 - 3	Montenegro
Latvia		0 - 1	Netherlands
Turkey		1 - 1	Norway
Cyprus		0 - 3	Croatia
Malta		0 - 4	Slovenia
Russia		1 - 0	Slovakia
Germany		2 - 1	Romania
Iceland		1 - 1	Armenia
Liechtenstein	0 - 4	NorthMacedonia
Azerbaijan	0 - 3	Ireland
Luxembourg	0 - 1	Serbia
Georgia		0 - 2	Greece
Sweden		3 - 0	Kosovo
Lithuania	3 - 1	Bulgaria
Switzerland	2 - 0	NorthernIreland
Kazakhstan	0 - 2	BosniaHerzeg
Finland		1 - 2	Ukraine
Scotland	3 - 2	Israel
FaroeIslands	0 - 2	Austria
Moldova		0 - 4	Denmark
Andorra		0 - 5	England
Hungary		0 - 1	Albania
Poland		5 - 0	SanMarino
Azerbaijan	0 - 3	Portugal
Ireland		1 - 1	Serbia
BosniaHerzeg	2 - 2	Kazakhstan
France		2 - 0	Finland
Austria		0 - 1	Scotland
Denmark		5 - 0	Israel
FaroeIslands	2 - 1	Moldova
Montenegro	0 - 0	Latvia
Netherlands	6 - 1	Turkey
Norway		5 - 1	Gibraltar
Croatia		3 - 0	Slovenia
Russia		2 - 0	Malta
Slovakia	2 - 0	Cyprus
Greece		2 - 1	Sweden
Kosovo		0 - 2	Spain
Italy		5 - 0	Lithuania
NorthernIreland	0 - 0	Switzerland
Belarus		0 - 1	Belgium
Wales		0 - 0	Estonia
Albania		5 - 0	SanMarino
Hungary		2 - 1	Andorra
Poland		1 - 1	England
Armenia		1 - 1	Liechtenstein
Iceland		0 - 4	Germany
NorthMacedonia	0 - 0	Romania
Ireland		1 - 1	Azerbaijan
Serbia		4 - 1	Luxembourg
Finland		1 - 0	Kazakhstan
Ukraine		1 - 1	France
FaroeIslands	0 - 1	Denmark
Israel		5 - 2	Austria
Scotland	1 - 0	Moldova
Latvia		0 - 2	Norway
Gibraltar	0 - 3	Turkey
Netherlands	4 - 0	Montenegro
Cyprus		0 - 2	Russia
Slovenia	1 - 0	Malta
Slovakia	0 - 1	Croatia
Kosovo		1 - 1	Greece
Spain		4 - 0	Georgia
Bulgaria	1 - 0	Lithuania
Switzerland	0 - 0	Italy
