      Date      Angle      Separ      err-a      err-s nts  pr
   1827.28       10.9      00.57          0       0.03   1   2
   1842.44        0.0        00.          0       0.03   1   2
   1886.46      192.9      00.26          0       0.03   9   2
   1887.46      192.7      00.41          0       0.03  19   2
   1888.38      195.6      00.86          0       0.03   6   2
   1888.41      192.2      00.49          0       0.03   8   2
   1889.19      190.4      00.52          0       0.03  13   2
   1890.33      189.3      00.70          0       0.03   4   2
   1890.43      190.0      00.48          0       0.03  14   2
   1891.45      191.0      00.46          0       0.03  16   2
   1892.41      191.4      00.44          0       0.03  14   2
   1893.40      199.5      00.47          0       0.03   2   2
   1893.44      190.8      00.34          0       0.03   9   2
   1894.34      184.4      00.22          0       0.03   7   2
   1894.45      196.6      00.36          0       0.03   1   2
   1895.32      197.1      00.23          0       0.03   4   2
   1895.35       152.      00.16          0       0.03   3   2
   1895.35      196.6      00.15          0       0.03   6   2
   1896.35      221.1      00.15          0       0.03   1   2
   1896.70        0.0        00.          0       0.03  11   2
   1897.34      350.1      00.07          0       0.03   1   2
   1897.99      200.0      00.11          0       0.03   1   2
   1898.38        9.4      00.19          0       0.03   8   2
   1898.38       24.4      00.16          0       0.03   3   2
   1899.38        9.4      00.22          0       0.03  19   2
   1899.42       11.3      00.30          0       0.03   7   2
   1900.44       16.2      00.28          0       0.03   8   2
   1901.32       13.2      00.28          0       0.03   8   2
   1901.35       10.6      00.46          0       0.03   4   2
   1902.30       13.5      00.40          0       0.03   5   2
   1902.36       11.3      00.53          0       0.03  10   2
   1903.25       11.3      00.60          0       0.03  31   2
   1903.29       14.1      00.39          0       0.03   4   2
   1904.42       17.4      00.36          0       0.03   3   2
   1904.43       12.4      00.60          0       0.03  21   2
   1905.36       13.5      00.54          0       0.03   2   2
   1905.74       12.6      00.69          0       0.03  11   2
   1905.83       13.6      00.93          0       0.03   5   2
   1907.36        9.4      00.54          0       0.03   5   2
   1908.26       12.3      00.54          0       0.03  30   2
   1909.30        7.3        00.          0       0.03   1   2
   1909.37       11.2      00.43          0       0.03  16   2
   1910.39       26.6      00.37          0       0.03   4   2
   1910.45       11.6      00.33          0       0.03   4   2
   1911.40        6.4      00.13          0       0.03   1   2
   1911.51      182.5      00.20          0       0.03   1   2
   1912.34      192.5      00.25          0       0.03   6   2
   1913.30      192.1      00.42          0       0.03   2   2
   1913.34      191.1      00.26          0       0.03   3   2
   1913.37      192.8      00.55          0       0.03   7   2
   1914.38      190.0      00.49          0       0.03  21   2
   1915.32      192.7      00.43          0       0.03  17   2
   1916.37      191.4      00.52          0       0.03  17   2
   1917.28      192.9      00.40          0       0.03   7   2
   1918.08      191.8      00.43          0       0.03   9   2
   1919.35      189.4      00.37          0       0.03   8   2
   1920.20      179.3      00.23          0       0.03   3   2
   1920.34      192.4      00.24          0       0.03   5   2
   1921.36      193.4      00.14          0       0.03   3   2
   1923.45        0.0        00.          0       0.03   2   2
  1923.623      189.7      0.160          0      0.003   4   3
   1924.38       10.8      00.17          0       0.03   2   2
   1925.30       11.4      00.23          0       0.03   5   2
   1925.42       14.0      00.33          0       0.03   2   2
  1926.159      192.4     00.560          0      0.003   3   3
   1926.42       12.5      00.25          0       0.03   3   2
  1927.207      190.9      00.42          0       0.03   3   2
  1927.349       9.67      00.38          0       0.03   4   2
   1928.40       13.9      00.44          0       0.03   1   2
   1928.59        9.4      00.43          0       0.03   2   2
   1931.27       11.4      00.45          0       0.03   1   2
   1931.39       13.9      00.66          0       0.03   4   2
  1932.269       11.1      00.58          0       0.03   2   2
   1932.47       13.4      00.73          0       0.03   4   2
   1933.12       12.8      00.78          0       0.03   3   2
   1933.40       11.8      00.61          0       0.03   3   2
   1933.46       13.3      00.73          0       0.03   1   2
   1934.38       13.2      00.55          0       0.03   4   2
   1934.41       11.3      00.70          0       0.03   3   2
   1934.50        9.1      00.58          0       0.03   2   2
