# Zeespiegel voor kust Nederland in cm boven NAP
# Jaar, gemiddelde 6 kuststations,Trend,Onzekerheid trend Bandbreedte,Onzekerheid trend Bandbreedte

1890,-18.9,-16.9,-18.0,-15.8
1891,-17.3,-16.7,-17.8,-15.6
1892,-16.1,-16.5,-17.6,-15.5
1893,-13.6,-16.3,-17.4,-15.3
1894,-13.6,-16.1,-17.2,-15.1
1895,-16.7,-16.0,-17.0,-14.9
1896,-17.9,-15.8,-16.8,-14.8
1897,-17.3,-15.6,-16.6,-14.6
1898,-13.2,-15.4,-16.4,-14.4
1899,-13.5,-15.2,-16.2,-14.2
1900,-17.1,-15.0,-16.0,-14.1
1901,-19.1,-14.8,-15.8,-13.9
1902,-21.9,-14.7,-15.6,-13.7
1903,-10.8,-14.5,-15.4,-13.6
1904,-14.6,-14.3,-15.2,-13.4
1905,-17.1,-14.1,-15.0,-13.2
1906,-13.4,-13.9,-14.8,-13.0
1907,-15.7,-13.7,-14.6,-12.9
1908,-16.4,-13.5,-14.4,-12.7
1909,-11.4,-13.4,-14.2,-12.5
1910,-10.4,-13.2,-14.0,-12.3
1911,-12.6,-13.0,-13.8,-12.2
1912,-6.4,-12.8,-13.6,-12.0
1913,-9.3,-12.6,-13.4,-11.8
1914,-8.1,-12.4,-13.2,-11.6
1915,-11.8,-12.2,-13.0,-11.5
1916,-6.7,-12.0,-12.8,-11.3
1917,-12.2,-11.9,-12.6,-11.1
1918,-12.6,-11.7,-12.4,-10.9
1919,-14.8,-11.5,-12.2,-10.8
1920,-14.3,-11.3,-12.0,-10.6
1921,-11.3,-11.1,-11.8,-10.4
1922,-12.0,-10.9,-11.6,-10.2
1923,-9.8,-10.7,-11.4,-10.0
1924,-12.4,-10.6,-11.2,-9.9
1925,-6.9,-10.4,-11.0,-9.7
1926,-8.7,-10.2,-10.9,-9.5
1927,-8.6,-10.0,-10.7,-9.3
1928,-7.3,-9.8,-10.5,-9.2
1929,-12.6,-9.6,-10.3,-9.0
1930,-7.7,-9.4,-10.1,-8.8
1931,-6.9,-9.3,-9.9,-8.6
1932,-8.4,-9.1,-9.7,-8.4
1933,-13.0,-8.9,-9.5,-8.3
1934,-11.5,-8.7,-9.3,-8.1
1935,-6.8,-8.5,-9.1,-7.9
1936,-5.3,-8.3,-8.9,-7.7
1937,-6.9,-8.1,-8.7,-7.5
1938,-5.5,-8.0,-8.5,-7.4
1939,-9.1,-7.8,-8.3,-7.2
1940,-8.4,-7.6,-8.2,-7.0
1941,-11.9,-7.4,-8.0,-6.8
1942,-10.4,-7.2,-7.8,-6.6
1943,-5.3,-7.0,-7.6,-6.5
1944,-4.3,-6.8,-7.4,-6.3
1945,-5.2,-6.6,-7.2,-6.1
1946,-6.3,-6.5,-7.0,-5.9
1947,-12.3,-6.3,-6.8,-5.7
1948,-5.0,-6.1,-6.6,-5.5
1949,-3.6,-5.9,-6.4,-5.4
1950,-3.7,-5.7,-6.3,-5.2
1951,-5.3,-5.5,-6.1,-5.0
1952,-2.8,-5.3,-5.9,-4.8
1953,-6.7,-5.2,-5.7,-4.6
1954,-4.0,-5.0,-5.5,-4.4
1955,-3.0,-4.8,-5.3,-4.2
1956,-8.8,-4.6,-5.1,-4.1
1957,-5.5,-4.4,-5.0,-3.9
1958,-4.5,-4.2,-4.8,-3.7
1959,-8.7,-4.0,-4.6,-3.5
1960,-4.9,-3.9,-4.4,-3.3
1961,1.9,-3.7,-4.2,-3.1
1962,-3.4,-3.5,-4.0,-2.9
1963,-9.1,-3.3,-3.9,-2.7
1964,-7.1,-3.1,-3.7,-2.5
1965,-1.6,-2.9,-3.5,-2.3
1966,1.4,-2.7,-3.3,-2.2
1967,4.1,-2.6,-3.1,-2.0
1968,-2.3,-2.4,-3.0,-1.8
1969,-3.7,-2.2,-2.8,-1.6
1970,-0.4,-2.0,-2.6,-1.4
1971,-5.4,-1.8,-2.4,-1.2
1972,-8.2,-1.6,-2.2,-1.0
1973,-1.5,-1.4,-2.1,-0.8
1974,-1.1,-1.2,-1.9,-0.6
