# Aantal zomerse dagen De Bilt. 1906-2008
# Jaar,Meting,Trend,,Onzekerheidsinterval

1906,16,14,9,19
1907,9,14,10,19
1908,13,14,10,19
1909,7,14,11,19
1910,10,15,11,19
1911,40,15,11,19
1912,15,15,12,19
1913,14,16,12,19
1914,31,16,13,20
1915,10,16,13,20
1916,11,16,13,20
1917,24,17,14,20
1918,12,17,14,20
1919,20,17,14,21
1920,15,17,14,21
1921,35,18,15,21
1922,10,18,15,22
1923,17,18,15,22
1924,11,18,15,22
1925,24,19,15,22
1926,17,19,16,22
1927,13,19,16,23
1928,15,19,16,23
1929,32,19,16,23
1930,21,19,16,23
1931,14,19,16,23
1932,31,20,16,23
1933,24,20,16,23
1934,28,20,16,24
1935,26,20,16,23
1936,18,20,16,23
1937,21,20,16,23
1938,16,19,16,23
1939,24,19,16,23
1940,13,19,16,23
1941,24,19,16,23
1942,19,19,16,23
1943,23,19,16,22
1944,19,18,15,22
1945,18,18,15,22
1946,11,18,15,21
1947,60,18,15,21
1948,21,17,14,21
1949,27,17,14,21
1950,18,17,14,20
1951,14,17,14,20
1952,13,16,13,20
1953,18,16,13,19
1954,9,16,13,19
1955,15,15,13,19
1956,3,15,13,18
1957,15,15,12,18
1958,17,15,12,18
1959,37,15,12,18
1960,10,15,12,18
1961,14,15,12,18
1962,4,14,12,17
1963,9,14,12,17
1964,23,14,12,17
1965,4,14,12,17
1966,13,14,12,17
1967,15,15,12,18
1968,15,15,12,18
1969,26,15,12,18
1970,24,15,12,18
1971,12,15,12,18
1972,9,15,12,18
1973,22,15,13,18
1974,6,16,13,19
1975,32,16,13,19
1976,44,16,13,19
1977,5,16,13,20
1978,13,17,14,20
1979,13,17,14,20
1980,11,17,14,21
1981,14,18,14,21
1982,32,18,15,21
1983,39,18,15,22
1984,15,19,15,22
1985,15,19,16,23
1986,21,19,16,23
1987,10,20,17,24
1988,15,20,17,24
1989,34,21,17,25
1990,31,21,18,25
1991,25,22,18,26
1992,33,22,18,26
1993,13,23,19,27
1994,29,23,19,28
1995,40,24,20,28
1996,18,24,20,29
1997,28,25,20,29
1998,15,25,21,30
1999,31,26,21,31
2000,22,26,21,32
2001,24,27,22,33
2002,18,27,22,34
2003,48,28,22,35
2004,25,28,22,36
2005,34,29,22,37
2006,51,29,22,39
2007,20,30,22,40
2008,25,31,22,42
