# Temperatuur Midden-Nederland
# Jaar,Gemiddelde,Trend, ondergrens,bovengrens

1906,9.14,8.91,8.51,9.31
1907,8.59,8.92,8.54,9.29
1908,8.39,8.92,8.57,9.28
1909,8.20,8.93,8.60,9.27
1910,9.38,8.94,8.62,9.26
1911,9.82,8.94,8.64,9.25
1912,9.13,8.95,8.66,9.24
1913,9.50,8.96,8.68,9.23
1914,9.56,8.96,8.70,9.23
1915,8.76,8.97,8.72,9.22
1916,9.14,8.98,8.73,9.22
1917,8.20,8.98,8.75,9.22
1918,9.26,8.99,8.76,9.22
1919,8.13,9.00,8.77,9.22
1920,9.32,9.00,8.78,9.23
1921,9.86,9.01,8.79,9.23
1922,8.16,9.02,8.80,9.23
1923,8.63,9.02,8.81,9.24
1924,8.45,9.03,8.82,9.24
1925,8.99,9.04,8.83,9.25
1926,9.53,9.05,8.84,9.26
1927,8.75,9.05,8.84,9.26
1928,9.17,9.06,8.85,9.27
1929,8.27,9.07,8.86,9.28
1930,9.54,9.08,8.87,9.28
1931,8.62,9.09,8.88,9.29
1932,9.24,9.09,8.89,9.30
1933,8.84,9.10,8.89,9.31
1934,10.12,9.11,8.90,9.31
1935,9.55,9.11,8.91,9.32
1936,9.33,9.12,8.91,9.33
1937,9.41,9.13,8.92,9.34
1938,9.59,9.13,8.93,9.34
1939,9.54,9.14,8.93,9.35
1940,7.95,9.15,8.94,9.35
1941,8.52,9.15,8.94,9.36
1942,8.20,9.16,8.95,9.36
1943,9.59,9.16,8.96,9.37
1944,9.26,9.17,8.96,9.38
1945,9.86,9.17,8.97,9.38
1946,9.02,9.18,8.97,9.38
1947,9.50,9.18,8.98,9.39
1948,9.84,9.19,8.98,9.39
1949,10.00,9.19,8.98,9.39
1950,9.36,9.19,8.99,9.40
1951,9.70,9.20,8.99,9.40
1952,8.96,9.20,8.99,9.40
1953,9.82,9.20,9.00,9.41
1954,9.03,9.20,9.00,9.41
1955,8.83,9.21,9.00,9.41
1956,8.17,9.21,9.00,9.42
1957,9.92,9.21,9.01,9.42
1958,9.35,9.22,9.01,9.42
1959,10.21,9.22,9.01,9.43
1960,9.61,9.22,9.02,9.43
1961,9.89,9.23,9.02,9.43
1962,8.05,9.23,9.03,9.44
1963,7.85,9.24,9.03,9.44
1964,9.14,9.25,9.04,9.45
1965,8.57,9.25,9.05,9.46
1966,9.42,9.26,9.06,9.47
1967,9.76,9.27,9.07,9.48
1968,9.08,9.28,9.08,9.49
1969,9.15,9.29,9.09,9.50
1970,9.02,9.31,9.10,9.51
1971,9.38,9.32,9.11,9.52
1972,8.83,9.33,9.13,9.54
1973,9.26,9.35,9.14,9.55
1974,9.64,9.36,9.16,9.57
1975,9.74,9.38,9.18,9.59
1976,9.89,9.40,9.20,9.61
1977,9.66,9.42,9.21,9.63
1978,8.86,9.44,9.23,9.65
1979,8.41,9.46,9.26,9.67
1980,9.06,9.49,9.28,9.69
1981,9.19,9.51,9.30,9.72
1982,10.00,9.54,9.33,9.74
1983,10.03,9.56,9.36,9.77
1984,9.26,9.59,9.38,9.80
1985,8.36,9.62,9.41,9.83
1986,8.87,9.65,9.44,9.86
1987,8.75,9.68,9.47,9.89
1988,10.20,9.71,9.50,9.92
1989,10.62,9.74,9.54,9.95
1990,10.65,9.78,9.57,9.98
1991,9.36,9.81,9.60,10.02
1992,10.35,9.84,9.64,10.05
1993,9.54,9.88,9.67,10.08
1994,10.56,9.91,9.70,10.12
1995,10.31,9.95,9.74,10.16
1996,8.40,9.98,9.77,10.19
1997,10.08,10.02,9.81,10.23
1998,10.16,10.05,9.84,10.27
1999,10.72,10.09,9.87,10.30
2000,10.79,10.12,9.91,10.34
2001,10.24,10.16,9.94,10.38
2002,10.66,10.19,9.97,10.42
2003,10.38,10.23,10.00,10.46
2004,10.21,10.26,10.03,10.50
2005,10.51,10.30,10.05,10.54
2006,11.02,10.33,10.08,10.58
2007,10.99,10.37,10.10,10.63
2008,10.35,10.40,10.13,10.68
2009,10.34,10.44,10.15,10.72
2010,9.01,10.47,10.17,10.77
2011,10.84,10.50,10.19,10.82
2012,10.16,10.54,10.20,10.87
2013,9.72,10.57,10.22,10.93
2014,11.52,10.61,10.23,10.98
2015,10.76,10.64,10.25,11.04
