# Gemiddelde watertemperatuur van de Maas bij Eijsden en Borgharen.
# 
# Jaar, gemiddelde, trend, Onzekerheid -, Onzekerheid +

1910,11.73,11.63,11.17,12.10
1911,12.63,11.65,11.23,12.08
1912,11.95,11.67,11.28,12.06
1913,12.16,11.70,11.33,12.06
1914,11.96,11.72,11.38,12.05
1915,11.53,11.74,11.42,12.05
1916,11.54,11.76,11.46,12.06
1917,11.28,11.78,11.49,12.07
1918,11.61,11.81,11.52,12.09
1919,11.15,11.83,11.55,12.11
1920,12.08,11.86,11.58,12.13
1921,12.78,11.89,11.61,12.16
1922,11.16,11.91,11.64,12.19
1923,11.83,11.94,11.67,12.22
1924,11.43,11.97,11.70,12.25
1925,11.72,12.01,11.73,12.28
1926,12.18,12.04,11.77,12.31
1927,11.74,12.07,11.80,12.35
1928,12.43,12.11,11.84,12.38
1929,11.61,12.14,11.87,12.41
1930,12.39,12.18,11.90,12.45
1931,11.95,12.21,11.94,12.48
1932,12.34,12.24,11.97,12.51
1933,12.54,12.27,12.00,12.54
1934,13.61,12.30,12.03,12.57
1935,12.81,12.32,12.05,12.59
1936,12.68,12.35,12.07,12.62
1937,12.98,12.37,12.09,12.64
1938,13.07,12.38,12.11,12.65
1939,12.59,12.40,12.13,12.67
1940,11.32,12.42,12.15,12.68
1941,11.64,12.43,12.16,12.70
1942,11.82,12.45,12.18,12.72
1943,12.79,12.47,12.20,12.73
1944,11.94,12.48,12.21,12.75
1945,11.87,12.50,12.23,12.77
1946,12.55,12.52,12.25,12.79
1947,13.21,12.54,12.27,12.81
1948,13.3,12.56,12.29,12.82
1949,13.79,12.58,12.31,12.84
1950,12.82,12.60,12.33,12.86
1951,12.55,12.61,12.35,12.88
1952,12.48,12.64,12.37,12.90
1953,13.22,12.66,12.39,12.92
1954,11.7,12.68,12.42,12.95
1955,12.31,12.71,12.45,12.98
1956,11.43,12.74,12.48,13.01
1957,12.5,12.78,12.51,13.05
1958,12.22,12.82,12.55,13.09
1959,14.03,12.86,12.60,13.13
1960,13.01,12.91,12.64,13.17
1961,13.32,12.96,12.69,13.22
1962,12.22,13.01,12.74,13.28
1963,12.31,13.07,12.80,13.33
1964,13.82,13.12,12.86,13.39
1965,12.1,13.19,12.92,13.45
1966,12.76,13.25,12.98,13.52
1967,13.67,13.32,13.05,13.58
1968,13.12,13.38,13.12,13.65
1969,13.32,13.45,13.19,13.72
1970,13.11,13.52,13.25,13.79
1971,14.12,13.59,13.32,13.86
1972,13.46,13.66,13.39,13.92
1973,14.12,13.72,13.46,13.99
1974,14.1,13.79,13.52,14.05
1975,14.85,13.85,13.58,14.12
1976,15.31,13.91,13.64,14.17
1977,14.38,13.96,13.69,14.23
1978,14.06,14.01,13.74,14.28
1979,13.6,14.06,13.79,14.33
1980,13.49,14.11,13.84,14.38
1981,13.64,14.15,13.88,14.42
1982,14.28,14.20,13.93,14.46
1983,14.28,14.24,13.97,14.50
1984,13.88,14.27,14.01,14.54
1985,13.82,14.31,14.04,14.58
1986,13.52,14.35,14.08,14.61
1987,13.62,14.38,14.11,14.65
1988,14.76,14.41,14.14,14.68
1989,15.33,14.43,14.16,14.70
1990,16.2,14.45,14.18,14.72
1991,14.56,14.47,14.20,14.74
1992,14.65,14.48,14.21,14.75
1993,14.48,14.49,14.22,14.76
1994,15.17,14.49,14.22,14.77
1995,14.92,14.49,14.22,14.76
1996,13.73,14.49,14.22,14.76
1997,14.64,14.48,14.21,14.75
1998,13.69,14.47,14.20,14.74
1999,14.61,14.46,14.19,14.73
2000,14.4,14.45,14.17,14.72
2001,13.9,14.43,14.16,14.70
2002,14.12,14.41,14.14,14.69
2003,14.92,14.39,14.12,14.67
2004,14.58,14.37,14.10,14.65
2005,14.89,14.35,14.07,14.63
2006,14.49,14.32,14.04,14.61
2007,14.45,14.30,14.01,14.59
2008,13.74,14.27,13.97,14.58
2009,14.08,14.25,13.93,14.56
2010,13.66,14.22,13.88,14.56
2011,14.72,14.19,13.83,14.55
2012,13.64,14.16,13.77,14.55
2013,13.41,14.14,13.71,14.56
2014,14.67,14.11,13.65,14.57
2015,14.16,14.08,13.57,14.59
