# Gemiddelde watertemperatuur van de Rijn bij Lobith.
# Sommige jaren ontbreken.
# Jaar, gemiddelde, trend, Onzekerheid - ,Onzekerheid +

1911,11.52,10.73,10.44,11.01
1912,10.72,10.75,10.48,11.03
1913,11.3,10.78,10.51,11.05
1914,10.81,10.81,10.55,11.07
1915,11.09,10.84,10.59,11.08
1916,11.22,10.87,10.63,11.11
1917,10.66,10.90,10.66,11.13
1918,11.12,10.92,10.70,11.15
1919,10.45,10.95,10.74,11.17
1920,11.31,10.98,10.77,11.19
1922,10.56,11.04,10.84,11.24
1923,10.64,11.07,10.88,11.26
1924,9.87,11.10,10.91,11.28
1925,11.32,11.13,10.94,11.31
1926,11.61,11.16,10.98,11.33
1927,11.2,11.19,11.01,11.36
1928,11.44,11.22,11.04,11.39
1929,10.98,11.24,11.08,11.41
1930,11.86,11.27,11.11,11.44
1931,10.94,11.30,11.14,11.47
1932,11.26,11.33,11.17,11.49
1933,10.94,11.36,11.20,11.52
1934,12.1,11.40,11.24,11.55
1935,11.65,11.43,11.27,11.58
1936,11.7,11.46,11.30,11.61
1937,12.11,11.49,11.33,11.64
1938,11.97,11.52,11.36,11.67
1939,11.6,11.55,11.39,11.70
1940,10.63,11.58,11.42,11.73
1941,10.75,11.61,11.46,11.76
1942,11.41,11.64,11.49,11.80
1943,12.52,11.67,11.52,11.83
1946,11.55,11.77,11.61,11.92
1947,11.97,11.80,11.65,11.96
1948,11.82,11.84,11.68,11.99
1950,12.08,11.90,11.75,12.05
1951,11.94,11.93,11.78,12.09
1952,11.66,11.97,11.82,12.12
1953,12.31,12.00,11.85,12.15
1954,11.46,12.04,11.88,12.19
1955,11.57,12.07,11.92,12.22
1956,11.07,12.10,11.95,12.26
1957,12.36,12.14,11.99,12.29
1958,12.07,12.18,12.02,12.33
1959,12.93,12.21,12.06,12.36
1960,12.55,12.25,12.09,12.40
1961,12.82,12.28,12.13,12.43
1962,11.85,12.32,12.16,12.47
1963,11.59,12.35,12.20,12.51
1964,12.77,12.39,12.24,12.54
1965,11.44,12.43,12.27,12.58
1966,12.53,12.46,12.31,12.62
1967,12.83,12.50,12.35,12.65
1968,12.2,12.54,12.39,12.69
1969,12.38,12.58,12.43,12.73
1970,11.86,12.61,12.46,12.76
1971,13.24,12.65,12.50,12.80
1972,12.71,12.69,12.54,12.84
1973,12.68,12.73,12.58,12.88
1974,13.03,12.77,12.62,12.92
1975,13.07,12.81,12.65,12.96
1976,13.89,12.84,12.69,12.99
1977,13.07,12.88,12.73,13.03
1978,12.29,12.92,12.77,13.07
1979,12.65,12.96,12.81,13.11
1980,12.3,13.00,12.85,13.15
1981,12.6,13.04,12.89,13.19
1982,13.36,13.08,12.93,13.22
1983,13.23,13.12,12.97,13.26
1984,12.82,13.15,13.01,13.30
1985,12.57,13.19,13.04,13.34
1986,12.59,13.23,13.08,13.38
1987,12.26,13.27,13.12,13.42
1988,13.42,13.31,13.16,13.46
1989,14.64,13.35,13.20,13.50
1990,14.4,13.39,13.24,13.54
1991,13.67,13.43,13.27,13.58
1992,14.08,13.46,13.31,13.62
1993,14.16,13.50,13.35,13.66
1994,14.78,13.54,13.38,13.70
1995,13.57,13.58,13.42,13.74
1996,13.04,13.62,13.45,13.78
1997,13.97,13.65,13.49,13.81
1998,13.41,13.69,13.52,13.86
1999,13.73,13.73,13.56,13.89
2000,14.35,13.76,13.59,13.94
2001,13.83,13.80,13.62,13.98
2002,13.94,13.84,13.65,14.02
2003,14.43,13.87,13.69,14.06
2004,13.77,13.91,13.72,14.10
2005,13.9,13.94,13.75,14.14
2006,14.2,13.98,13.78,14.18
2007,14.36,14.02,13.80,14.23
2008,14.14,14.05,13.83,14.27
2009,13.84,14.09,13.86,14.31
2010,13.37,14.12,13.89,14.36
2011,14.57,14.16,13.91,14.40
2012,13.76,14.19,13.94,14.44
2013,13.18,14.23,13.97,14.49
2014,14.58,14.26,13.99,14.54
2015,13.9,14.30,14.01,14.58
